Reporting Period	ID RSSD	UBPR3210	UBPR4340	UBPR7316	UBPR7402	UBPR7408	UBPR7414	UBPRD486	UBPRD659	UBPRE001	UBPRE002	UBPRE003	UBPRE004	UBPRE005	UBPRE006	UBPRE007	UBPRE008	UBPRE009	UBPRE010	UBPRE011	UBPRE012	UBPRE013	UBPRE014	UBPRE015	UBPRE016	UBPRE017	UBPRE018	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE024	UBPRE025	UBPRE026	UBPRE027	UBPRE028	UBPRE029	UBPRE541	UBPRE542	UBPRJ248	UBPRK447	
		TOTAL EQUITY CAPITAL	NET INCOME	SURVEILLANCE MODEL ASSET GROWTH RATE	TOTAL DIVIDENDS AS PERCENT OF NET IN	ANNUAL CHANGE IN TIER 1 CAPITAL	NONCURRENT ASSETS AS PERCENT OF TOTL	RBC_T1_TOT_AA	ASET_QAVG_CYA	INC_AA	INT_EXP_AA	INT_INC_NET_AA	INC_NONINT_AA	OVHD_EXP_AA	PROV_LNLS_ATTR_AA	INC_PTAX_OP_AA	SEC_GN_AA	INC_PTAX_NET_OP_AA	INC_NET_OP_AA	INC_BEI_AA	INC_NET_SUBS_AA	INC_NET_AA	EA_AVG_AA	LIAB_IB_AA	INT_INC_EA	INT_EXP_EA	INT_INC_NET_EA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_ASET_TOT	NI_DIVD_ECAP_CYB	LNLS_NINV_ORE_CAP	LNLS_NET_GY	INV_TEMP_GY	NCORE_FND_LT1_GY	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	INCNET_NONCON_AA	NCORE DPDNCY INS LIMIT TIME DEP	
3/31/2016 11:59:59 PM	37	20504.0000	192.0000	-2.7744	0.0000	16.4983	0.8898	24.5200	88907.0000	4.4460	0.3599	4.0861	0.4319	2.9514	0.0675	1.4991	0.0135	1.5126	0.8638	0.9358	0.8638	0.8638	95.7180	60.9120	4.6449	0.3760	4.2689	-0.0137			3.5485	3.5485	31.7582	3.7777	2.5840	-10.4964	-47.1941		0.1927	0.6971	0.0000	-5.5775	
3/31/2016 11:59:59 PM	242	5310.0000	131.0000	0.7375	148.8550	3.3286	0.2059	12.3000	41641.0000	3.9437	0.4419	3.5018	0.4034	2.4207	0.0000	1.4846	0.0288	1.5134	1.2584	1.2296	0.9988	1.2584	94.3998	68.9825	4.1776	0.4681	3.7095	0.0471	45.3333	14.0000	0.6784	0.6784	60.2277	-4.8062	0.5476	-0.0731	116.9262	26.3937	0.1292	0.0767	0.0000	10.9428	
3/31/2016 11:59:59 PM	279	27951.0000	287.0000	5.3156	0.0000	3.4242	0.0991	14.0800	197604.0000	4.2463	0.7773	3.4690	0.5789	3.1376	0.0040	0.9063	0.0121	0.9185	0.5810	0.6640	0.5810	0.5810	95.3857	81.7332	4.4517	0.8149	3.6368	-0.1039			0.6326	0.6326	74.4759	4.1289	0.4743	14.2193	64.5933	91.9861	0.0061	0.0930	0.0000	11.4500	
3/31/2016 11:59:59 PM	354	1014.0000	1.0000	-6.4732	0.0000	0.6924	3.0117	10.1100	10072.0000	3.0580	0.0794	2.9786	0.7149	3.7728	0.0000	-0.0794	0.0000	-0.0794	0.0397	0.0794	0.0397	0.0397	92.8316	56.0564	3.2941	0.0856	3.2086	-0.1219			5.2426	5.2426	35.7421	0.4057	8.3195	21.6178	-55.0891		0.2231	2.7886	0.0000	-4.0178	
3/31/2016 11:59:59 PM	457	4752.0000	224.0000	11.0478	0.0000	11.9991	1.5688	10.5000	45259.0000	4.9284	0.4773	4.4511	0.3005	2.7309	0.0000	2.0207	0.0000	2.0207	1.9797	1.9886	1.3337	1.9797	95.8053	76.5152	5.1442	0.4981	4.6460	-0.0101			1.2414	1.2414	87.4470	19.3062	18.1125	10.2367	45.4047	87.5000	0.1410	1.4277	0.0000	3.6776	
3/31/2016 11:59:59 PM	505	35735.0000	618.0000	1.1981	41.5858	3.6930	1.7434	8.4900	433728.0000	3.4416	0.2020	3.2397	0.5211	2.8718	0.0277	0.8612	0.0000	0.8612	0.5699	0.4722	0.5699	0.5699	95.4710	76.7354	3.6049	0.2116	3.3934	0.1858	6.2500	7.5037	1.3691	1.3691	66.9273	4.0749	16.8169	11.1962	-32.9917	-2.1929	0.1061	1.6373	0.0000	-8.3598	
3/31/2016 11:59:59 PM	1155	18788.0000	568.0000	-1.5619	152.2887	-2.1127	0.6547	8.7600	211030.0000	4.0395	0.2692	3.7704	0.8681	3.0934	0.2900	1.2551	0.0000	1.2551	1.0766	1.3666	0.8284	1.0766	93.3794	81.1126	4.3259	0.2882	4.0377	0.0000			1.6678	1.6657	66.8073	-6.2880	13.3723	-2.5200	12.3801	-2.2052	0.0513	0.6034	0.0000	-4.5678	
3/31/2016 11:59:59 PM	1351	22982.0000	697.0000	-2.9197	126.9727	0.9315	4.0233	14.8600	154578.0000	4.7241	0.6314	4.0927	0.1941	1.9666	0.1553	2.1649	0.0000	2.1649	1.8036	1.9382	1.4288	1.8036	95.2416	73.7925	4.9601	0.6629	4.2972	0.0390	94.6250	42.2500	1.6464	1.6464	52.1615	-3.2599	21.7391	6.2708	85.2381	1.3404	0.0731	3.9503	0.0000	-0.8383	
3/31/2016 11:59:59 PM	1454	79267.0000	2406.0000	28.3267	41.5628	7.3217	0.1038	8.3400	913006.0000	2.4720	0.1047	2.3673	0.7479	1.8878	0.1476	1.0797	0.0701	1.1498	1.0541	1.1584	0.7589	1.0541	97.6592	57.2269	2.5313	0.1072	2.4241	0.1555	26.0909	8.5480	1.3333	1.3263	26.8662	7.2521	5.0344	3.8699	173.8425	9.2704	0.0160	0.0878	0.0000	-43.5047	
3/31/2016 11:59:59 PM	1557	11256.0000	393.0000	-5.6753	0.0000	2.4904	0.3498	13.7800	79657.0000	4.0957	0.2611	3.8346	0.1155	1.7224	0.1858	2.0419	0.0000	2.0419	1.9735	2.0237	1.3477	1.9735	96.6632	61.0047	4.2371	0.2701	3.9670	0.1834	16.2593	6.3426	1.2288	1.2288	70.0713	14.2981	0.0670	-8.3873	118.1818	-65.3594	0.3498	0.0000	0.0000	8.2218	
3/31/2016 11:59:59 PM	1669	45395.0000	651.0000	3.9448	0.0000	0.9423	0.4042	16.8900	266995.0000	2.9596	0.2322	2.7274	0.6577	1.9371	0.0225	1.4255	0.0000	1.4255	0.9753	0.9768	0.9753	0.9753	92.9645	63.2207	3.1836	0.2498	2.9338	0.0581	60.5000	52.3929	3.0178	3.0178	35.2645	5.8029	0.7221	5.4487	0.6963		0.0453	0.3590	0.0000	-20.3238	
3/31/2016 11:59:59 PM	1829	48560.0000	721.0000	3.5603	56.8655	4.5091	1.9169	9.4200	420094.0000	3.7630	0.3437	3.4193	0.4475	2.7832	0.0952	0.9884	0.0229	1.0113	0.6865	0.7751	0.6865	0.6865	98.5895	63.5482	3.8169	0.3487	3.4682	0.0098	142.8571	131.1429	1.2669	1.2669	67.2316	2.5840	6.8234	4.4436	-23.3772	93.9472	0.8689	1.0480	0.0000	17.6003	
3/31/2016 11:59:59 PM	1856	16597.0000	358.0000	6.1162	69.2737	1.2212	0.0000	13.2300	124189.0000	3.8232	1.6266	2.1967	0.0902	1.1209	0.0000	1.1660	-0.0129	1.1531	1.1531	1.1305	0.7610	1.1531	99.9899	84.5083	3.8236	1.6267	2.1969	0.0675	51.7143	34.9286	2.4419	2.4419	28.5892	2.7835	27.1920	-11.9048	-28.0408	-30.4415	0.0000	0.0000	0.0000	9.9474	
3/31/2016 11:59:59 PM	2040	22879.0000	386.0000	1.3856	0.0000	8.9999	2.2187	11.3500	196046.0000	3.7601	0.5203	3.2398	0.5774	2.5973	0.0000	1.2199	0.0000	1.2199	0.7876	0.8855	0.7876	0.7876	95.1797	76.3107	3.9505	0.5466	3.4039	-0.1543			2.7213	2.7213	62.4100	6.8114	28.0553	4.6718	-4.5359	-15.8273	0.0213	2.1974	0.0000	29.6860	
3/31/2016 11:59:59 PM	2161	16338.0000	409.0000	7.6762	33.9853	2.2455	0.1450	11.5400	136167.0000	4.0445	0.2409	3.8036	0.6991	3.1696	0.0000	1.3331	0.0000	1.3331	1.2015	1.1838	0.8799	1.2015	89.3462	66.5756	4.5268	0.2696	4.2572	0.0310	68.1667	30.7083	0.9131	0.9131	57.6614	6.6914	0.4919	7.5119	89.9687	-19.1192	0.0669	0.0781	0.0000	-17.7699	
3/31/2016 11:59:59 PM	2376	447265.0000	9905.0000	9.6222	0.0000	0.2959	0.3289	13.0200	3492756.0000	3.7733	0.9571	2.8162	0.1522	1.1692	0.0104	1.7888	0.0000	1.7888	1.1343	1.0661	1.1343	1.1343	95.0054	82.0909	3.9717	1.0074	2.9643	0.0946	22.8690	10.8668	0.9833	0.9833	83.6977	8.9484	2.2782	12.0974	-68.2368	35.4485	0.0000	0.3289	0.0000	38.5210	
3/31/2016 11:59:59 PM	2554	1393.0000	38.0000	-3.2639	0.0000	17.5227	3.4083	9.2900	12849.0000	3.7895	0.3424	3.4470	0.4670	2.2726	0.2179	1.4235	0.0000	1.4235	1.1830	1.5254	0.9395	1.1830	90.8670	63.9622	4.1703	0.3769	3.7935	-0.2646			1.8972	1.8972	44.3021	11.0425	7.3041	10.9360	-38.1637	-100.0000	1.5615	1.8469	0.0000	-34.8012	
3/31/2016 11:59:59 PM	2732	84911.0000	801.0000	-3.9799	33.0836	3.2130	0.7861	14.5600	575944.0000	2.9804	0.0861	2.8942	0.2195	2.0245	0.1042	0.9850	0.0000	0.9850	0.5563	0.6709	0.5563	0.5563	96.1729	62.1159	3.0990	0.0895	3.0094	-0.0174			1.0045	1.0045	63.1503	2.5431	2.9313	9.5694	-48.7272	-22.3022	0.0660	0.7201	0.0000	-3.9239	
3/31/2016 11:59:59 PM	2750	6976.0000	177.0000	-0.0103	50.2825	11.0093	0.0807	11.4300	60440.0000	4.4674	0.9795	3.4880	0.2449	2.4289	0.0000	1.3040	0.0199	1.3238	1.1714	1.1714	0.8737	1.1714	91.7215	80.0331	4.8707	1.0679	3.8028	0.0000			1.5765	1.5765	68.9650	5.0893	1.2859	1.8824	154.3103	1069.2810	0.0807	0.0000	0.0000	5.2651	
3/31/2016 11:59:59 PM	3177	103876.0000	1759.0000	2.2832	56.8505	-1.0514	0.5853	9.5100	1051712.0000	3.3661	0.6059	2.7603	0.3742	2.0728	0.0578	1.0039	0.0000	1.0039	0.6690	0.6804	0.6690	0.6690	93.9706	89.0351	3.5821	0.6447	2.9374	0.0622	22.8770	6.5984	0.4045	0.4045	75.5388	2.9424	9.9490	2.9241	12.3848	-7.4112	0.0000	0.5853	0.0000	3.6226	
3/31/2016 11:59:59 PM	3252	24410.0000	543.0000	2.4290	46.0405	6.1877	5.0990	13.1000	180546.0000	3.9546	0.3766	3.5780	0.4719	2.0826	0.6647	1.3026	0.0487	1.3514	1.2030	1.3293	0.8919	1.2030	95.6778	71.4372	4.1332	0.3936	3.7396	1.0257	3.4486	3.1502	3.1408	3.1408	51.3249	4.8639	18.2513	3.6213	-6.2381	14.6786	0.0595	5.0395	0.0000	15.0333	
3/31/2016 11:59:59 PM	3458	4162.0000	75.0000	9.6883	0.0000	8.3026	0.2255	9.5300	43095.0000	3.9979	0.5012	3.4967	0.2135	2.5061	0.1392	1.0649	0.0000	1.0649	0.6961	0.8261	0.6961	0.6961	92.0176	83.0885	4.3447	0.5447	3.8000	0.0154	122.0000	86.2500	1.2756	1.2756	59.8879	7.3233	4.3710	15.6789	79.0192	-2.6326	0.0000	0.2255	0.0000	13.6320	
3/31/2016 11:59:59 PM	3720	34031.0000	646.0000	9.1784	18.5759	4.7595	0.3974	13.5300	249181.0000	3.3906	0.1846	3.2060	0.9969	2.5973	0.0241	1.5815	0.0064	1.5879	1.0370	1.0611	1.0370	1.0370	89.8044	71.5773	3.7756	0.2056	3.5700	0.0000			1.2029	1.2029	55.6526	6.2516	4.9871	5.5475	40.5153	8.1773	0.1810	0.2164	0.0000	-12.2025	
3/31/2016 11:59:59 PM	3971	110340.0000	-241.0000	6.9132	0.0000	1.6685	2.0220	13.3500	759006.0000	4.1164	0.4332	3.6832	4.6714	8.5728	0.0100	-0.2282	0.0000	-0.2282	-0.1270	-0.1834	-0.1270	-0.1270	99.2444	81.4604	4.1478	0.4365	3.7113	0.0824	-3.2857	21.6190	1.8824	1.8606	75.1401	-0.8741	23.5161	5.9283	22.3637	133.2260	0.0000	2.0220	0.0000	0.5316	
3/31/2016 11:59:59 PM	4156	22988.0000	338.0000	-6.2293	69.2308	1.6493	0.1770	10.1800	208850.0000	3.9936	0.3313	3.6622	0.7450	3.5815	0.0575	0.7683	0.0000	0.7683	0.6474	0.7067	0.5071	0.6474	92.0864	74.5377	4.3368	0.3598	3.9770	-0.0026			1.3179	1.3167	73.3216	1.8184	1.5384	-5.1144	-7.8793	-22.9250	0.0000	0.1770	0.0000	7.5090	
3/31/2016 11:59:59 PM	4231	15830.0000	150.0000	-1.3664	0.0000	0.7149	3.9236	13.4500	115432.0000	3.8566	0.3846	3.4720	0.2287	3.0841	0.0000	0.6166	0.1317	0.7483	0.5198	0.3881	0.5198	0.5198	93.3008	68.6361	4.1335	0.4123	3.7213	0.3124	2.9474	5.5197	1.7289	1.7289	41.0071	3.8285	27.9561	-3.3110		-13.1630	0.0000	3.9236	0.0000	-2.9928	
3/31/2016 11:59:59 PM	4839	38785.0000	722.0000	-1.6289	72.9917	4.6211	2.3717	11.8000	329607.0000	4.6213	0.6347	3.9866	0.6638	3.2693	0.5461	0.8349	0.1153	0.9502	0.8762	1.4102	0.6271	0.8762	96.8590	72.0045	4.7711	0.6553	4.1158	0.0170	108.7000	128.6250	2.2079	2.1983	69.5327	2.0243	52.9911	-1.9612	-34.2595	-2.3614	0.0107	2.3611	0.0000	17.4496	
3/31/2016 11:59:59 PM	5069	181386.0000	5400.0000	8.0244	0.0000	6.3850	8.2275	43.7100	407885.0000	6.5355	0.3942	6.1412	0.0657	0.6188	0.0000	5.5882	0.0000	5.5882	5.2956	5.2956	3.6323	5.2956	96.4583	48.4487	6.7754	0.4087	6.3667	0.0000			4.0438	4.0438	67.0400	12.0932	19.1210	8.5787	19.0593	151.8235	0.3076	7.9198	0.0000	6.7284	
3/31/2016 11:59:59 PM	5135	58220.0000	1469.0000	10.5220	0.0000	9.6511	0.5251	12.8900	443481.0000	4.4821	0.5195	3.9626	0.4014	2.2008	0.0767	2.0865	0.0000	2.0865	1.3250	1.3295	1.3250	1.3250	96.9140	67.5562	4.6248	0.5361	4.0888	0.0980	29.2000	12.7531	1.2494	1.2494	72.6245	10.2273	2.6902	11.8682	18.7559	50.3442	0.1249	0.4002	0.0000	11.7813	
3/31/2016 11:59:59 PM	5210	97973.0000	2438.0000	3.9858	49.5488	5.8475	0.6425	9.0300	1123568.0000	3.6495	0.3411	3.3084	0.6298	2.6580	0.0000	1.2802	0.0000	1.2802	0.8679	0.7943	0.8679	0.8679	93.5772	87.6567	3.9000	0.3645	3.5355	0.0971	15.9469	17.5604	1.6771	1.6754	74.8633	5.0742	10.1473	6.4321	-39.3324	-14.6195	0.1694	0.4731	0.0000	12.3143	
3/31/2016 11:59:59 PM	5461	53079.0000	757.0000	5.6985	0.0000	1.4422	1.3012	9.4500	542046.0000	3.3250	0.0974	3.2276	0.3867	2.9341	0.0000	0.6802	0.0236	0.7038	0.5586	0.5955	0.4645	0.5586	87.7140	84.6081	3.7908	0.1111	3.6797	-0.0654			1.6540	1.6540	58.8153	5.8227	20.2787	7.9570	-50.1227	1.3567	0.0000	1.3012	0.0000	3.5821	
3/31/2016 11:59:59 PM	5751	33333.0000	1099.0000	2.9713	177.4340	4.4226	0.0766	15.8300	193425.0000	4.9954	0.3826	4.6128	0.5480	2.3616	0.1758	2.6234	0.0000	2.6234	2.2727	2.4733	1.7314	2.2727	93.8157	72.0564	5.3247	0.4078	4.9169	-0.0356			1.1657	1.1657	68.0325	-10.1176	3.2047	4.1361	-1.8977	158.7113	0.0000	0.0766	0.0000	5.3277	
3/31/2016 11:59:59 PM	6039	8456.0000	196.0000	4.4487	0.0000	5.8690	1.0733	9.5300	88400.0000	4.6812	0.3348	4.3464	0.5928	3.5339	0.0000	1.4052	0.0000	1.4052	0.8869	0.8462	0.8869	0.8869	89.5684	62.4842	5.2264	0.3738	4.8526	0.0681	34.3333	22.3333	1.4913	1.4913	60.8876	9.3999	34.2009	9.2600	-20.8563	14.3573	0.4616	0.6117	0.0000	-16.0192	
3/31/2016 11:59:59 PM	6141	5889.0000	55.0000	-2.4908	0.0000	1.4470	4.8902	9.5500	61647.0000	2.7857	0.1298	2.6560	0.3179	2.3359	0.0973	0.5407	0.0000	0.5407	0.3569	0.2660	0.3569	0.3569	74.5665	63.0055	3.7359	0.1740	3.5619	0.6623	1.8621	3.5259	2.3393	2.3393	27.4668	3.7533	11.0194	-1.5680	-62.0683	-13.4765	0.9208	3.9693	0.0000	-9.0523	
3/31/2016 11:59:59 PM	6329	50387.0000	932.0000	6.6857	32.1888	10.9423	1.5326	9.4500	525199.0000	7.5350	0.3404	7.1945	1.5042	5.5895	2.0564	1.0529	0.0000	1.0529	0.7098	1.7487	0.7098	0.7098	91.2803	64.1391	8.2548	0.3730	7.8818	1.2400	3.0322	1.3084	1.5666	1.5646	81.4681	5.0495	16.0024	17.7920	-29.6542	8.6310	0.0573	1.4753	0.0000	0.6359	
3/31/2016 11:59:59 PM	7009	60143.0000	3817.0000	7.9168	26.1986	4.4128	0.0000	6.4500	913942.0000	1.2155	0.1256	1.0899	7.2827	6.4170	0.0000	1.9556	-0.0508	1.9048	1.6706	1.6706	1.2381	1.6706	98.9785	82.0238	1.2280	0.1269	1.1011	0.0000			0.0000	0.0000	28.6332	19.2083	0.0000	-17.6165	30.6223		0.0000	0.0000	0.0000	-201.3551	
3/31/2016 11:59:59 PM	7045	19686.0000	339.0000	1.3084	0.0000	2.8553	2.4376	9.7900	193954.0000	3.4046	0.2846	3.1200	0.4248	2.1778	0.2475	1.1195	0.0351	1.1545	0.6991	0.7280	0.6991	0.6991	95.9856	76.2799	3.5469	0.2965	3.2504	0.5244	5.0283	2.5094	1.3059	1.3059	40.8715	7.0011	10.0627	2.1546	31.4019	-2.2108	0.0025	2.4351	0.0000	-2.7427	
3/31/2016 11:59:59 PM	7072	32272.0000	178.0000	6.7201	0.0000	-3.9169	2.6550	15.5400	186635.0000	3.9792	0.5444	3.4348	0.3343	3.1763	0.1393	0.4536	0.1050	0.5586	0.3815	0.4887	0.3815	0.3815	90.8053	74.8423	4.3821	0.5995	3.7826	0.0396	18.1333	29.2167	1.1279	1.1279	81.9066	2.2144	19.3622	13.9437	-67.2258	103.2096	0.2423	2.4127	0.0000	11.8834	
3/31/2016 11:59:59 PM	7157	5061.0000	69.0000	-10.1497	34.7826	3.3347	0.4072	10.9600	45815.0000	3.1849	0.2968	2.8880	0.3492	2.5057	0.0437	0.6879	0.0000	0.6879	0.6024	0.6373	0.6024	0.6024	98.0268	70.2499	3.2490	0.3028	2.9462	0.0163	74.0000	63.2500	1.0406	1.0406	53.4404	3.5874	1.1855	7.5352	-26.7680	-52.0076	0.1481	0.2591	0.0000	-20.5095	
3/31/2016 11:59:59 PM	7456	6777.0000	270.0000	5.5799	10.0000	5.6167	0.0000	8.2000	79568.0000	4.2746	0.2715	4.0031	0.4173	2.8604	0.0704	1.4896	0.0352	1.5247	1.3573	1.4277	1.0063	1.3573	96.1272	63.9629	4.4468	0.2824	4.1644	0.0000			1.2203	1.2203	64.8496	14.6772	0.0000	9.6208	-10.3248	-40.2740	0.0000	0.0000	0.0000	-12.6629	
3/31/2016 11:59:59 PM	7634	7919.0000	243.0000	9.5025	138.2716	9.9646	1.1540	12.0500	64401.0000	4.4968	0.4534	4.0434	0.4286	2.7142	0.2484	1.5093	0.0000	1.5093	1.5093	-0.0683	0.9961	1.5093	97.7066	72.7163	4.6024	0.4641	4.1383	2.5994	0.9626	0.7389	1.9323	1.9323	67.6556	-4.7235	11.3223	8.8477	135.8752	55.8677	0.0912	1.0629	0.0000	-4.6181	
3/31/2016 11:59:59 PM	8033	27145.0000	951.0000	-1.6316	0.0000	15.7373	0.7847	12.7000	213524.0000	4.9515	0.5264	4.4251	0.3822	2.1169	0.0000	2.6904	0.0000	2.6904	1.7815	1.7628	1.7815	1.7815	96.3901	56.8002	5.1370	0.5461	4.5909	0.0220	143.0000	28.6500	0.6377	0.6377	83.7327	14.2710	6.0620	7.1099	-33.7934	-10.2234	0.4836	0.3011	0.0000	2.8875	
3/31/2016 11:59:59 PM	8462	20686.0000	550.0000	-6.1280	15.6364	7.3132	3.8058	10.8200	182067.0000	2.6503	0.1472	2.5031	0.3383	1.4346	0.0989	1.3079	0.0000	1.3079	1.2083	1.2940	0.8632	1.2083	89.3539	52.9206	2.9661	0.1647	2.8013	0.0464	99.1667	29.9583	1.3733	1.3689	28.6650	9.1469	9.0633	12.4970	-32.8028	-12.1012	0.1123	3.6935	0.0000	5.4771	
3/31/2016 11:59:59 PM	8631	6873.0000	98.0000	-6.6594	40.8163	0.7919	0.1853	10.4900	65506.0000	3.2974	0.1771	3.1203	0.3664	2.7723	0.0000	0.7144	0.1343	0.8488	0.5984	0.5740	0.5984	0.5984	91.1840	62.9316	3.6162	0.1942	3.4220	0.0501	29.2500	26.3125	1.3224	1.3224	47.5157	3.3950	5.1275	-3.3920	-16.0575	-37.6049	0.0000	0.1853	0.0000	-30.4691	
3/31/2016 11:59:59 PM	9357	80738.0000	2312.0000	-5.5188	31.2284	3.3841	0.0000	11.8300	480582.0000	3.4700	0.1681	3.3018	0.2847	1.6622	0.0000	1.9243	0.0000	1.9243	1.9243	1.9252	1.2701	1.9243	92.9770	78.4801	3.7321	0.1808	3.5512	-0.0011			1.2244	0.8977	73.0484	7.9778	0.0000	-11.6740	2064.2299	-81.9964	0.0000	0.0000	0.0000	-6.8979	
3/31/2016 11:59:59 PM	9553	12461.0000	608.0000	5.1376	102.6316	8.8289	0.7943	7.8100	166788.0000	3.7493	0.7411	3.0082	0.1103	1.3574	0.0000	1.7611	0.0000	1.7611	1.4581	1.4437	1.1623	1.4581	96.2189	69.1818	3.8966	0.7702	3.1264	0.0249	103.5000	41.4583	1.0345	1.0345	57.7255	-0.5159	1.0627	11.5081	3.0949	143.4278	0.6456	0.1487	0.0000	33.3075	
3/31/2016 11:59:59 PM	9807	301490.0000	8803.0000	1.8934	20.1863	10.4311	0.9152	13.9800	2290216.0000	3.9959	0.5779	3.4180	0.4452	2.2223	0.0000	1.6409	0.0000	1.6409	1.5375	1.5174	1.0666	1.5375	94.6182	83.6985	4.2232	0.6108	3.6124	0.0267	76.5478	62.1152	1.6518	1.6518	74.3705	9.4444	35.9971	14.4420	-62.7497	-11.0313	0.0000	0.9152	0.0000	15.7546	
