Reporting Period	Peer Group Description	Peer Group	UBPSE015	UBPSE008	UBPSE029	UBPS7414	UBPSE023	UBPSD486	UBPSE012	UBPSE018	UBPSE024	UBPSE013	UBPSE019	UBPSE541	UBPSE027	UBPS7408	UBPSE010	UBPSK447	UBPSE007	UBPSE016	UBPSE021	UBPSE542	UBPSE003	UBPSE006	UBPSE022	UBPSE028	UBPSE011	UBPS7316	UBPSE002	UBPSE014	UBPSJ248	UBPSE005	UBPSE020	UBPSE017	UBPS7402	UBPSE004	UBPSE025	UBPSE009	UBPSE001	UBPSE026	
			LIAB_IB_AA	SEC_GN_AA	NCORE_FND_LT1_GY	NONCURRENT ASSETS AS PERCENT OF TOTL	LNLS_LOS_TOT	RBC_T1_TOT_AA	INC_NET_SUBS_AA	INT_INC_NET_EA	LNLS_ASET_TOT	INC_NET_AA	NET_LNLS_AVG_CYB	LNLS_TOT_PD_90_GRS	LNLS_NET_GY	ANNUAL CHANGE IN TIER 1 CAPITAL	INC_NET_OP_AA	NCORE DPDNCY INS LIMIT TIME DEP	INC_PTAX_OP_AA	INT_INC_EA	LNLS_LOS_NET	LNLS_TOT_NACCR	INT_INC_NET_AA	PROV_LNLS_ATTR_AA	LNLS_LOS_NHFS	INV_TEMP_GY	INC_BEI_AA	SURVEILLANCE MODEL ASSET GROWTH RATE	INT_EXP_AA	EA_AVG_AA	INCNET_NONCON_AA	OVHD_EXP_AA	NOI_LNLS_CHGFF_CYB	INT_EXP_EA	TOTAL DIVIDENDS AS PERCENT OF NET IN	INC_NONINT_AA	NI_DIVD_ECAP_CYB	INC_PTAX_NET_OP_AA	INC_AA	LNLS_NINV_ORE_CAP	
3/31/2016 11:59:59 PM	All Bankers Banks in California	CABKR	17.4104	0.0000	152.4050	0.3477	1.5473	8.6500	0.7964	2.1970	34.6261	0.7964	-0.0100	0.0000	14.2190	-1.2392	0.7964	-43.0050	1.3056	2.3493	0.0000	0.3477	1.8803	0.0000	1.5473	14.2085	0.7999	22.6235	0.1304	85.5866	0.0000	3.4614	0.0000	0.1523	0.0000	2.8867	9.2491	1.3056	2.0107	1.3768	
3/31/2016 11:59:59 PM	All Bankers Banks in Colorado	COBKR	43.0688	0.0000	1.0161	2.2185	2.2752	12.3100	0.7009	2.7806	60.5071	0.7009	-0.0967	0.0000	0.1330	1.1270	0.7009	-11.2131	1.0856	3.2657	0.0000	2.2185	2.6271	0.0000	2.2752	-24.0131	0.7585	-10.0673	0.4583	94.4792	0.0000	4.3168	0.0000	0.4850	354.7203	2.7754	-13.8221	1.0856	3.0854	13.5075	
3/31/2016 11:59:59 PM	All Bankers Banks in Connecticut	CTBKR	12.8949	0.0000	60.0823	0.0000	1.5301	10.9200	0.3734	2.1197	21.5872	0.3734	0.0000	0.0000	21.0202	3.0563	0.3734	-27.3985	0.5346	2.2524	0.0000	0.0000	1.7162	0.0128	1.5301	80.4899	0.3862	28.9517	0.1074	80.9666	0.0000	6.3074	0.0000	0.1327	13.6986	5.1385	2.9222	0.5346	1.8237	0.0000	
3/31/2016 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	48.0256	0.0000	-55.1823	1.3653	2.8542	12.5000	-0.3059	2.9553	61.5512	-0.3059	0.2818	0.0396	-2.9439	1.7845	-0.3059	5.0940	-0.4010	3.3750	9.9507	1.3256	2.6805	0.0000	2.8542	-20.8514	-0.4781	-7.5230	0.3807	90.7000	0.0000	7.4069	-2.3289	0.4197	0.0000	4.3254	-2.4341	-0.4010	3.0611	8.9572	
3/31/2016 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	0.0000	0.0000	0.0000	1.2407	16.1300	0.5099	3.3839	26.8498	0.5099	-0.0182	0.0000	4.1437	2.9259	0.5099	-33.7127	0.8531	3.3839	0.0000	0.0000	1.3430	0.0000	1.2407	-24.0958	0.5149	19.5997	0.0000	39.6876	0.0000	5.3387	0.0000	0.0000	0.0000	4.8488	3.1729	0.8531	1.3430	0.0000	
3/31/2016 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	41.1583	0.0000	-2.0286	3.7771	2.6183	16.1700	0.6167	2.8742	63.1650	0.6167	-0.0110	0.0000	26.2979	-2.0716	0.6167	21.1405	0.9250	3.1573	0.0000	3.7771	2.6591	0.2331	2.6183	-37.1949	0.8563	9.2371	0.2620	92.5187	0.0000	5.1119	0.0000	0.2832	0.0000	3.6109	3.5716	0.9250	2.9211	14.6198	
3/31/2016 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	86.8942	0.0000	-30.7177	4.3849	1.1654	10.1300	-0.7206	2.6804	68.8948	-0.7206	0.7131	0.0000	-2.6170	-3.6000	-0.7206	17.2400	-0.7206	3.4662	1.6021	4.3849	2.6726	0.1049	1.1654	28.5714	-1.1124	-1.4256	0.7836	99.7097	0.0000	3.3442	-1.2394	0.7859	0.0000	0.0560	-6.9712	-0.7206	3.4562	31.4935	
3/31/2016 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	33.7246	0.0000	31.4989	0.5375	1.4272	9.6000	0.5266	2.5696	57.1589	0.5266	0.0152	0.0088	23.3735	6.5754	0.5266	22.4702	0.8639	2.9358	97.5441	0.5287	2.4123	0.0000	1.4272	-36.0116	0.5184	-0.5423	0.3438	93.8788	0.0000	3.3600	98.6471	0.3662	0.0000	1.8117	5.5143	0.8639	2.7561	5.1702	
3/31/2016 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	13.8622	0.0000	-55.8900	0.0000	4.2194	11.9100	0.6805	2.1388	38.1209	0.6805	0.0000	0.0000	8.8405	7.4800	0.6805	-64.3568	1.0679	2.2078	0.0000	0.0000	2.0370	0.0000	4.2194	-32.8605	0.6805	-13.9720	0.0658	95.2426	0.0000	3.1260	0.0000	0.0691	0.0000	2.1570	5.5530	1.0679	2.1028	7.5753	
